,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,57,MV,1573225113,68,-0.6,73.08,28.36,2.71
1,ushuaia,75,AR,1573225374,93,-54.81,-68.31,4.0,11.3
2,barrow,100,AR,1573225374,26,-38.31,-60.23,20.44,4.65
3,yellowknife,75,CA,1573225374,84,62.45,-114.38,-13.33,2.1
4,mataura,100,NZ,1573225374,78,-46.19,168.86,13.33,1.59
5,albany,40,US,1573225160,54,42.65,-73.75,-0.57,7.2
6,alice springs,0,AU,1573225375,28,-23.7,133.88,24.0,5.7
7,burns lake,100,CA,1573225168,95,54.23,-125.76,1.6,1.15
8,hobart,40,AU,1573225205,72,-42.88,147.33,5.56,4.6
9,bredasdorp,24,ZA,1573225376,56,-34.53,20.04,20.0,8.2
10,hermanus,72,ZA,1573225233,66,-34.42,19.24,23.89,5.36
11,pingshan,100,CN,1573225376,80,28.83,104.35,16.52,0.64
12,porto novo,75,BR,1573225376,94,-23.68,-45.44,21.0,1.0
13,hilo,40,US,1573225376,64,19.71,-155.08,21.0,2.6
14,plettenberg bay,17,ZA,1573225377,75,-34.05,23.37,17.61,6.49
15,busselton,0,AU,1573225377,27,-33.64,115.35,19.44,6.25
16,punta arenas,75,CL,1573225377,56,-53.16,-70.91,6.0,8.7
17,tuktoyaktuk,90,CA,1573225377,84,69.44,-133.03,-14.0,4.1
18,kirakira,100,SB,1573225377,89,-10.46,161.92,24.23,2.64
19,guerrero negro,100,MX,1573225378,66,27.97,-114.04,20.32,3.45
20,wonthaggi,10,AU,1573225378,78,-38.6,145.59,7.78,6.36
21,buala,96,SB,1573225378,82,-8.15,159.59,26.41,1.17
22,havoysund,75,NO,1573225379,100,71.0,24.66,-3.0,5.1
23,bluff,0,AU,1573225379,20,-23.58,149.07,22.97,3.77
24,sagaing,90,MM,1573225380,88,21.88,95.98,25.0,1.5
25,khatanga,100,RU,1573225380,90,71.98,102.47,-22.98,7.23
26,esperance,0,AU,1573225380,81,-33.86,121.89,11.0,5.7
27,luganville,53,VU,1573225380,97,-15.51,167.18,21.83,1.13
28,sao filipe,100,CV,1573225381,79,14.9,-24.5,23.92,7.25
29,kahului,1,US,1573225381,88,20.89,-156.47,22.22,2.1
30,shingu,1,JP,1573225381,64,33.72,135.99,15.63,4.01
31,anchorage,90,US,1573225211,100,61.22,-149.89,4.0,1.5
32,sur,0,OM,1573225381,43,22.57,59.53,25.55,2.51
33,coromandel,100,BR,1573225382,49,-18.47,-47.2,30.29,1.6
34,longyearbyen,75,NO,1573225382,57,78.22,15.63,-5.0,3.1
35,talnakh,40,RU,1573225382,75,69.49,88.39,-28.0,3.0
36,burnie,0,AU,1573225382,86,-41.05,145.91,4.44,6.26
37,coihaique,100,CL,1573225383,57,-45.58,-72.07,10.0,2.6
38,cape town,20,ZA,1573225324,56,-33.93,18.42,23.33,10.3
39,lebu,30,ET,1573225383,58,8.96,38.73,16.32,3.67
40,rio gallegos,75,AR,1573225383,76,-51.62,-69.22,9.0,11.8
41,atuona,5,PF,1573225384,79,-9.8,-139.03,26.59,7.07
42,limbang,75,BN,1573225384,88,4.75,115.01,27.0,2.1
43,byron bay,0,AU,1573225384,93,-28.65,153.62,28.0,2.1
44,husavik,100,CA,1573225384,81,50.56,-96.99,-5.57,3.13
45,nauta,86,PE,1573225385,49,-4.51,-73.58,33.14,0.87
46,sarakhs,0,TM,1573225385,36,36.54,61.16,15.0,2.67
47,cabo san lucas,40,MX,1573225385,44,22.89,-109.91,27.22,5.1
48,faanui,100,PF,1573225385,81,-16.48,-151.75,26.92,9.21
49,hazorasp,0,UZ,1573225386,36,41.32,61.08,9.0,2.1
50,georgetown,40,GY,1573225274,74,6.8,-58.16,31.0,4.1
51,saint-philippe,90,CA,1573225386,74,45.36,-73.48,-1.0,4.27
52,zherdevka,72,RU,1573225386,87,51.84,41.47,6.75,4.54
53,jamestown,16,AU,1573225386,84,-33.21,138.6,4.8,2.07
54,hamilton,20,CA,1573225146,68,43.26,-79.87,1.11,3.1
55,castro,2,CL,1573225387,57,-42.48,-73.76,11.0,4.6
56,la ronge,90,CA,1573225279,85,55.1,-105.3,-8.0,1.37
57,alcudia,21,ES,1573225387,41,39.85,3.12,16.0,6.7
58,altamira,75,BR,1573225388,63,-3.2,-52.21,33.0,2.6
59,alofi,40,NU,1573225388,100,-19.06,-169.92,22.0,2.6
60,rikitea,61,PF,1573225388,80,-23.12,-134.97,22.88,3.61
61,qaanaaq,0,GL,1573225388,59,77.48,-69.36,-19.89,3.06
62,half moon bay,90,US,1573225389,93,37.46,-122.43,13.33,1.5
63,kodiak,1,US,1573225389,68,39.95,-94.76,-1.67,5.1
64,jalu,0,LY,1573225389,34,29.03,21.55,26.25,4.78
65,labytnangi,0,RU,1573225390,83,66.66,66.39,-16.3,5.04
66,avarua,82,CK,1573225390,94,-21.21,-159.78,22.0,1.0
67,surt,0,LY,1573225390,30,31.21,16.59,23.43,1.19
68,lata,17,IN,1573225390,83,30.78,78.62,-4.66,1.68
69,ahipara,62,NZ,1573225391,100,-35.17,173.16,17.78,5.79
70,zhanakorgan,16,KZ,1573225391,38,43.91,67.25,8.94,2.51
71,tonekabon,20,IR,1573225391,87,36.82,50.88,16.0,4.16
72,tilichiki,45,RU,1573225391,78,60.47,166.1,-8.58,4.22
73,souillac,90,FR,1573225392,81,45.6,-0.6,10.0,5.7
74,matara,75,BI,1573225392,58,-3.48,29.48,29.0,12.3
75,saint anthony,1,US,1573225392,85,43.97,-111.68,-4.0,1.5
76,port blair,100,IN,1573225393,80,11.67,92.75,27.94,4.89
77,san patricio,0,PY,1573225393,53,-26.98,-56.83,31.55,2.19
78,hami,99,CN,1573225393,53,42.84,93.51,2.66,5.81
79,nioro,0,GM,1573225393,13,13.79,-15.05,38.49,3.81
80,coquimbo,90,CL,1573225393,93,-29.95,-71.34,13.0,2.1
81,gladstone,0,AU,1573225374,73,-23.84,151.26,23.0,2.6
82,cockburn town,40,TC,1573225394,70,21.46,-71.14,30.0,2.1
83,dunedin,100,NZ,1573225180,43,-45.87,170.5,18.89,2.68
84,dikson,55,RU,1573225395,97,73.51,80.55,-19.88,5.4
85,shenkursk,88,RU,1573225395,88,62.11,42.91,-9.4,2.0
86,mikhaylovka,0,RU,1573225395,89,52.96,103.29,-1.94,1.42
87,zhezkazgan,75,KZ,1573225395,60,47.8,67.71,4.0,4.0
88,carora,64,VE,1573225396,55,10.17,-70.08,27.64,3.13
89,bathsheba,40,BB,1573225396,70,13.22,-59.52,31.0,8.2
90,kununurra,0,AU,1573225396,61,-15.77,128.74,27.0,3.1
91,chokurdakh,93,RU,1573225396,99,70.62,147.9,-23.37,1.91
92,belfast,2,GB,1573225397,56,54.6,-5.93,7.78,2.6
93,te anau,100,NZ,1573225397,97,-45.41,167.72,10.04,1.12
94,nova petropolis,75,BR,1573225397,69,-29.38,-51.11,28.89,2.6
95,new norfolk,40,AU,1573225398,98,-42.78,147.06,5.56,4.6
96,vaini,20,IN,1573225398,83,15.34,74.49,23.0,1.5
97,kapaa,1,US,1573225398,88,22.08,-159.32,20.0,4.1
98,bandar-e lengeh,7,IR,1573225399,62,26.56,54.88,29.0,4.1
99,mamallapuram,20,IN,1573225399,70,12.63,80.17,31.0,2.6
100,houston,90,US,1573225312,87,29.76,-95.37,12.22,5.1
101,salym,100,RU,1573225400,91,60.06,71.48,-13.83,2.99
102,linhares,54,BR,1573225400,33,-19.38,-40.06,34.56,2.29
